bioguide_id,name,name_confirm_from_sunlight,in_office,sort
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000466,2020 HON. BRIAN K. FITZPATRICK,,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000459,"2020 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000468,2020 HON. LIZZIE FLETCHER,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000461,2020 HON. BILL FLORES,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000449,2020 HON. JEFF FORTENBERRY,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000454,2020 HON. BILL FOSTER,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000450,2020 HON. VIRGINIA FOXX,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000462,2020 HON. LOIS FRANKEL,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
F000455,2020 HON. MARCIA L. FUDGE,,,
