TITLE (ORIGINAL),Corrected Title,Category
OFFICE MANAGER - ATHENS,Office Manager - Athens,Office manager
"OFFICE MANAGER, L.C.","Office Manager, L.C.",Office manager/legislative correspondent  
OFFICE MANAGER-CASEWORKER,Office Manager - Caseworker,Office manager/caseworker  
OFFICE MANAGER-DISTRICT,Office Manager - District,District office manager
OFFICE MANAGER-IT MANAGER,Office Manager - IT Manager,Office manager/information technology manager  
ONLINE MEDIA COORDINATOR,Online Media Coordinator,Online media coordinator  
ONLINE OUTREACH SPECIALIST,Online Outreach Specialist,Online outreach specialist  
OPERATIONS MANAGER,Operations Manager,Operations manager  
OPS DIR & ASST TO CHF OF STAFF,Operations Director and Assistant to the Chief of Staff,Operations director/assistant to chief of staff  
ORANGE OFFICE - FIELD REP,Orange Office - Field Representative,Field director representative  
ORLANDO AREA DIRECTOR,Orlando Area Director,District director  
OUTREACH,Outreach,Outreach aide
OUTREACH AIDE,Outreach Aide,Outreach aide  
OUTREACH ASSISTANT,Outreach Assistant,Outreach assistant  
OUTREACH DIRECTOR ,Outreach Director ,Outreach director   
OUTREACH LIAISON,Outreach Liaison,Liaison  
OUTREACH MANAGER,Outreach Manager,Outreach manager  
OVERSIGHT INVES COUNSEL,Oversight and Investigations Counsel,Counsel  
OVERTIME COMPENSATION,Overtime Compensation ,Overtime compensation  
PARLIAMENTARY COUNSEL,Parliamentary Counsel,Counsel  
PART-TIME ACCOUNT MANAGER,Part-time Account Manager,Part-time account manager  
PART-TIME CASEWORKER,Part-time Caseworker,Part-time caseworker  
PART-TIME EMPLOYEE..,Part-time Employee,Part-time employee
PEE DEE AREA DIRECTOR,Pee Dee Area Director,District director  
PERSONAL SECRETARY,Personal Secretary,Personal secretary  
PHOTOGRAPHIC LAB TECH,Photographic Lab Technician,Photographic lab technician
PLANNING MANAGER,Planning Manager,Planning manager  
"PLCY ADV,PNW NTRL RSRCS ISSUES","Policy Advisor, Water and Power Subcommittee on National Resources Issues",Policy advisor
POLICY ADV. FOR SC W.F. PROT.,Policy Advisor for Subcommittee on Workforce Protection,Policy advisor
POLICY AIDE,Policy Aide,Policy aide  
"POLICY DIR,COMM,TECH & INTERNE","Policy Director, Committee on Technology and the Internet",Policy director
POLICY DIRECTOR (P),Policy Director ,Policy director   
"POLICY DIRECTOR, HOUSING","Policy Director, Housing",Policy director
POLICY REPRESENTATIVE,Policy Representative,Policy representative  
PRESS AIDE,Press Aide,Press aide  
PRESS ASSISTANT ,Press Assistant ,Press assistant   
PRESS DEPUTY,Press Deputy,Press deputy  
PRESS DIRECTOR,Press Director,Press director  
PRESS SECRETARY & ONLINE STRAT,Press Secretary and Online Strategist,Press secretary and online strategist
"PRESS SECTY, LEGIS CORRES","Press Secretary, Legislative Correspondent",Press secretary/legislative correspondent  
PRINCE WILLIAM DIRECTOR,Prince William Director,District director  
PRINCIPAL PHOTOGRAPHER,Principal Photogrpaher,Principal photographer  
PRINTING MANAGER,Printing Manager,Printing manager  
"PRO STAFF MBR, DISABILITY ASST","Professional Staff Member, Disability Assistant",Professional staff/assistant  
PROCESS IMPROVEMENT SPECIALIST,Process Improvement Specialist,Process improvement specialist  
PROCUREMENT SUPPORT ADMINISTRA,Procurement Support Administrator,Procurement support administrator  
PRODUCTION OPERATIONS MANAGER,Production Operations Manager,Production operations manager  
"PROF STAFF MBR, ECONOMIC OPP.","Professional Staff Member, Subcommittee on Economic Opportunity",Professional staff
"PROF STAFF MEMBER, AVIATION","Professional Staff Member, Subcommittee on Aviation",Professional staff
"PROF STAFF MEMBER,OVERSIGHT","Professional Staff Member, Subcommittee on Oversight",Professional staff
PROF STAFF MEMBER-HEALTH,Professional Staff Member - Subcommittee on Health,Professional staff
PROF STAFF-AVIATION SUB-SHARED,Professional Staff - Aviation Subcommittee - Shared,Professional staff
PROF STAFF-SC ON TECH & INNOV,Professional Staff - Subcommittee on Technology and Innovation,Professional staff
PROF STF MEM FOR INTERPARL AFR,Professional Staff Member for Interparliamentary Affairs,Professional staff
PROF. STAFF-SHARED- H & T SUB.,Professional Staff - Shared - Highways and Transit Subcommittee,Professional staff
PROFESSIONAL STAFF - HIGHWAYS,Professional Staff - Subcommittee on Highways and Transit,Professional staff
PROFESSIONAL STAFF MBR ,Professional Staff Member ,Professional staff
"PROFESSIONAL STAFF MEM, HEALTH","Professional Staff Member, Subcommittee on Health",Professional staff
PROFESSIONAL STAFF MEMBER (C),Professional Staff Member ,Professional staff
"PROFESSIONAL STAFF, S.C ON T&I","Professional Staff, Subcommittee on Technology and Innovation",Professional staff
PROFESSIONAL STAFFER,Professional Staffer,Professional staff
PROFESSIONAL STAFF-MINORITY,Professional Staff - Minority,Professional staff
PROFESSIONAL STAFF-SPACE SC,Professional Staff - Subcommittee on Space and Aeronautics,Professional staff
PROGRAM ASST (WOUNDED WAR. PR),Program Assistant (Wounded War Public Relations),Program assistant
PROGRAM MGR (OPERATIONS),Program Manager (Operations),Program manager
PROGRAM MGR (POLICY COUNSEL),Program Manager (Policy Counsel),Program manager
PROJECT DIRECTOR,Project Director,Project director  
PRO-LIFE CAUCUS,Pro-life Caucus,Pro-life caucus  
PT IMMIGRATION ARD,Part-Time Immigration Advisor,Aide
PUBLIC INFORMATION OFFICER,Public Information Officer,Public information officer  
PUBLICATIONS CLERK,Publications Clerk,Publications clerk  
QUALITY ASSURANCE MANAGER,Quality Assurance Manager,Quality assurance manager  
RECEPTIONIST-CASE WORKER,Receptionist - Case Worker,Receptionist/case worker  
RECORDS MANAGEMENT SPECIALIST,Records Management Specialist,Records management specialist  
REGIONAL CASEWORK DIRECTOR,Regional Casework Director,Regional casework director  
REGIONAL COORDINATOR,Regional Coordinator,Regional coordinator  
REGIONAL MANAGER,Regional Manager,Regional manager  
REGIONAL OUTREACH COORDINATOR,Regional Outreach Coordinator,Regional outreach coordinator  
REGISTRAR,Registrar,Registrar  
REGULATORY COUNSEL,Regulatory Counsel,Regulatory counsel  
REP DIR OF OUTREACH & SR ADVSR,Republican Director of Outreach and Senior Advisor,Director/senior advisor
"REP DP STF DIR&STF DIR,SBCM OV",Republican Deputy Staff Director and Staff Director of Subcommittee on Oversight and Investigations,Deputy staff director/staff director
"REP STAFF DIR,DAMA,PRESS DIR","Republican Staff Director, Subcommittee on Disability Assistant and Memorial Affairs, Press Director",Staff director/press director  
REP. RANKING MBR SHARED STAFF,Republican Ranking Member Shared Staff,Staff
REP. SR POLICY ADVISOR & DIR,Republican Senior Policy Advisor and Director,Senior policy advisor/director  
REPUB CHIEF COUNSEL FOR POLICY,Republican Chief Counsel for Policy,Chief counsel
REPUB CHIEF OF STAFFSHRD STAFF,Republican Chief of Staff - Shared Staff,Chief of staff
REPUB PROF STAFF MBR-SPEECHWRI,Republican Professional Staff Member - Speechwriter,Professional staff/speechwriter
REPUB PROF STAFF MEMBER,Republican Professional Staff Member,Professional staff
REPUB SR POL ADV-SHARED STAFF,Republican Senior Policy Advisor - Shared Staff,Senior policy advisor
"REPUB STAFF, DIR FRANKING COMM","Republican Staff, Director of Franking Commission",Director franking communication  
REPUBLICAN COMMITTEE CLERK,Republican Committee Clerk,Committee clerk  
REPUBLICAN DEPUTY COUNSEL,Republican Deputy Counsel,Deputy counsel  
REPUBLICAN DEPUTY PRESS SECRET,Republican Deputy Press Secretary,Deputy press secretary 
REPUBLICAN DIR. OF COMMUNIACTI,Republican Director of Communications,Director of communications  
REPUBLICAN EXEC ASST.,Republican Executive Assistant,Executive assistant  
REPUBLICAN EXECUTIVE ASST.,Republican Executive Assistant,Executive assistant  
REPUBLICAN GENERAL COUNSEL,Republican General Counsel,General counsel  
REPUBLICAN JR. PROF STAFF MMBR,Republican Junior Professional Staff Member,Junior professional staff  
REPUBLICAN LEGISLATIVE DIRECTO,Republican Legislative Director,Legislative director 
REPUBLICAN NEW MEDIA COORDINAT,Republican New Media Coordinator,New media coordinator  
REPUBLICAN SENIOR COUNSEL,Republican Senior Counsel,Senior counsel  
REPUBLICAN SENIOR STAFF ASST,Republican Senior Staff Assistant,Senior staff assistant  
REPUBLICAN STAFF ASST,Republican Staff Assistant,Staff assistant  
"REPUBLICAN STAFF DIR, EO","Republican Staff Director, Subcommittee on Economic Opportunity",Staff director
"REPUBLICAN STAFF DIR, HEALTH","Republican Staff Director, Health",Staff director
RESEARCH ANALYST FOR VICE CHR,Research Analyst of Vice Chair,Research analyst
RESEARCH ASST & SYS ADMIN,Research Assistant and System Administrator,Research assistant/systems administrator  
RESEARCH ASST SPACE S.C.,"Research Assistant, Subcommittee on Space and Aeronautics",Research assistant
RESOURCE CMTE STAFF DIRECTOR,Resource Committee Staff Director,Resource committee staff director  
RESOURCE SPECIALIST,Resource Specialist,Resource specialist  
RHODE ISLAND CHIEF OF STAFF,Rhode Island Chief of Staff,District chief of staff  
RULES ASSOCIATE,Rules Associate,Rules associate  
RURAL OUTREACH COORDINATOR,Rural Outreach Coordinator,Outreach coordinator  
RURAL REPRESENTATIVE,Rural Representative,Rural representative  
SCHEDULING,Scheduling,Scheduler 
SCHEDULING COORDINATOR,Scheduling Coordinator,Scheduling coordinator  
SCHEDULING DIR & FINANCIAL DIR,Scheduling Director and Financial Director,Scheduling director and financial director  
SCIENCE COMMITTEE DESIGNEE,Science Committee Designee,Committee designee  
SECOND ASSISTANT,Second Assistant,Assistant  
SECURITY ENGINEER,Security Engineer,Security engineer  
SECURITY INFORMATION OFFICER,Security Information Officer,Security information officer  
"SEN. COUNSEL - ED, PB & EM S.C","Senior - Subcommittee on Economic Development, Public Buildings and Emergency Management",Senior counsel
SEN. COUNSEL - I & O,Senior - Subcommittee on Oversight and Investigations,Senior counsel
SEN. PROFESSIONAL STAFF - I&O,Senior Professional Staff - Subcommittee on Oversight and Investigations,Senior professional staff 
SENIOR ADMIN STAFF ASSISTANT,Senior Administrative Staff Assistant,Senior administrative staff assistant  
SENIOR ADVISER (P),Senior Adviser ,Senior advisor   
SENIOR ADVISOR ,Senior ,Senior advisor   
SENIOR ADVISOR ON HEALTH POLIC,Senior Advisor on Health Policy,Senior advisor
SENIOR AUDIO SPECIALIST,Senior Audio Specialist,Senior audio specialist  
SENIOR BENEFITS SPECIALIST,Senior Benefits Specialist,Senior benefits specialist  
SENIOR BUDGET REVIEW SPEC,Senior Budget Review Specialist,Senior budget review specialist  
SENIOR CASE WORKER,Senior Case Worker,Senior case worker  
SENIOR CASEWORKER  ,Senior Caseworker (Overtime),Senior caseworker   
SENIOR CITIZEN LIAISON,Senior Citizen Liaison,Liaison  
SENIOR COMMUNICATIONS SPEC,Senior Communications Specialist,Senior communications specialist  
SENIOR COMPUTER SPECIALIST,Senior Computer Specialist,Senior computer specialist  
SENIOR CONGRESSIONAL AIDE,Senior Congressional Aide,Senior congressional aide  
SENIOR CONSTITUENT LIAISON,Senior Constituent Liaison,Liaison  
SENIOR CONTRACT ADMINISTRATOR,Senior Contract Administrator,Senior contract administrator  
SENIOR COORDINATOR,Senior Coordinator,Senior coordinator  
SENIOR COUNSEL ,Senior Counsel ,Senior counsel   
SENIOR COUNSEL TO THE SPEAKER,Senior Counsel to the Speaker,Senior counsel to the speaker  
SENIOR DISTRICT AIDE,Senior District Aide,Senior district aide  
SENIOR DISTRICT CASEWORKER,Senior District Caseworker,Senior district caseworker  
SENIOR EDUCATION POLICY ADVISO,Senior Education Policy,Senior policy advisor  
SENIOR ELECTIONS COUNSEL,Senior Elections Counsel,Senior counsel  
SENIOR HARDWARE ENGINEER,Senior Hardware Engineer,Senior hardware engineer  
SENIOR INFORMATION LIASON,Senior Information Liaison,Senior  liaison  
SENIOR LEGISLATIVE ASSOCIATE,Senior Legislative Associate,Senior legislative associate  
SENIOR NETWORK TECHNICIAN (A),Senior Network Technician ,Senior network technician   
SENIOR PHOTOGRAPHER,Senior,Senior photographer  
SENIOR PHOTOGRAPHER  ,Senior Photographer (Overtime),Senior photographer   
SENIOR POLICY ADVISOR(C),Senior Policy Advisor ,Senior policy advisor  
SENIOR POLICY ADVISOR-MAJORITY,Senior Policy Advisor - Majority,Senior policy advisor
SENIOR POLICY COORDINATOR,Senior Policy Coordinator,Senior policy coordinator  
SENIOR PROF STAFF MEMBER,Senior Professional Staff Member,Senior professional staff
SENIOR PROFESSIONAL STAFF ,Senior Professional Staff ,Senior professional staff
SENIOR PROGRAM ANALYST,Senior Program Analyst,Senior program analyst  
SENIOR REFUND COUNSEL,Senior Refund Counsel,Senior refund counsel  
SENIOR REPUBLICAN COUNSEL,Senior Republican Counsel,Senior counsel  
SENIOR SOCIAL SECURITY ADVISOR,Senior Social Security Advisor,Senior advisor  
SENIOR SYSTEMS ADMINISTRATOR,Senior Systems Administrator,Senior systems administrator  
SENIOR TECHNICAL ADVISOR,Senior Technical Advisor,Senior technical advisor  
SERGEANT AT ARMS,Sergeant at Arms,Sergeant at arms  
"SHARED STAFF,SC ON T& I","Shared Staff, Subcommittee on Transportation and Infrastructure",Staff
SHARED STAFF-FULL COMMITTEE,Shared Staff - Full Committee,Committee staff
SHIFT SUPERVISOR,Shift Supervisor,Supervisor  
SOCIAL WORK COORDINATOR,Social Work Coordinator,Social work coordinator  
SOCIAL WORKER,Social Worker,Social worker  
SOFTWARE ENGINEER I,Software Engineer I,Software engineer
SOUTH END OFFICE COORDINATOR,South End Office Coordinator,District office coordinator  
SOUTHEAST AREA DIRECTOR,Southeast Area Director,District director  
SOUTHEASTERN OUTREACH DIRECTOR,Southeastern Outreach Director,Outreach director  
SPEC ASST TO THE RANKING MEM,Special Assistant to the Ranking Member,Special assistant
SPECIAL ADVISOR,Special Advisor,Special advisor  
SPECIAL ASSISTANT (A),Special Assistant ,Special assistant   
SPECIAL ASSISTANT TO STAFF DIR,Special Assistant to Staff Director,Special assistant
SPECIAL ASSISTANT TO THE SPEAK,Special Assistant to the Speaker,Special assistant
SPECIAL ASST FOR PUBLIC AFFAIR,Special Assistant for Public Affairs,Special assistant
SPECIAL ASST TO DIST DIR,Special Assistant to District Director,Special assistant
SPECIAL IMPEACHMENT COUNSEL,Special Impeachment Counsel,Special impeachment counsel  
SPEECH WRITER,Speech Writer,Speechwriter  
SPEECHWRITER & COMMUNI LIAISON,Speechwriter and Communications Liaison,Speechwriter/liaison  
SPEECHWRITER & COMMUNICATIONS,Speechwriter and Communications,Speechwriter/liaison  
SR ADV FOR SCIENCE & TECH,Senior Advisor for Science and Technology Committee,Senior advisor
SR ADV FOR STRATEGIC PLANNING,Senior Advisor for Strategic Planning,Senior advisor
SR ADVISOR & DIRECTOR OF COMM.,Senior Advisor and Director of Communications,Senior advisor/director of communications  
SR ADVSR PUBLIC & MEDIA AFFAIR,Senior Advisor on Public and Media Affairs,Senior advisor
SR AIDE FOR MILIT & VET ISSUES,Senior Aide for Military and Veterans' Issues,Senior aide
SR APPLICATION SECURITY ANALYS,Senior Application Security Analyst,Senior application security analyst  
SR APPROPRIATIONS ASSISTANT,Senior Appropriations Assistant,Senior appropriations assistant  
SR BUSINESS PROC APPL SPEC II,Senior Business Procurement Application Specialist II,Senior business process applications specialist
SR CAMERA OPERATOR (A),Senior Camera Operator ,Senior camera operator   
SR CAMERA OPERATOR (A)  ,Senior Camera Operator   ,Senior camera operator    
SR COMM SECURITY ANALYST,Senior Communications Security Analyst,Senior communication security analyst  
SR COMMUNICATION SPECIALIST,Senior Communication Specialist,Senior communication specialist  
SR CONSTITUENT SERVICES REP,Senior Constituent Services Representative,Senior constituent services representative  
